id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL,year,month,day,day_of_week,quarter,NH4_rolling_avg,BSK5_rolling_avg,O2_rolling_avg,NO3_rolling_avg,SO4_rolling_avg,CL_rolling_avg,NH4_yoy_change,BSK5_yoy_change,O2_yoy_change,NO3_yoy_change,SO4_yoy_change,CL_yoy_change,season
3,2006-10-12,0.012,1.18,2.4,9.13,6.97,0.0,60.96,0.52,34.0,2006,10,12,3,4,0.017666666666666667,1.2933333333333337,8.716666666666665,4.59,72.16000000000001,37.06666666666666,-0.8666666666666667,-0.07812500000000011,-0.017222820236813652,1.2927631578947367,0.16158536585365857,-0.031339031339031376,Autumn
3,2006-11-21,0.005,1.56,5.2,12.9,3.89,0.035,58.1,0.27,34.03,2006,11,21,1,4,0.005666666666666667,1.2733333333333337,10.343333333333332,5.07,58.72666666666667,32.91,inf,0.40540540540540526,0.10256410256410264,-0.5261875761266748,-0.05220228384991832,-0.10211081794195243,Autumn
3,2006-12-06,0.0,1.14,4.0,11.82,7.91,0.032,60.96,0.25,41.1,2006,12,6,2,4,0.005666666666666667,1.2933333333333337,11.283333333333331,6.256666666666667,60.00666666666667,36.376666666666665,,-0.15555555555555567,-0.12053571428571419,-0.09703196347031962,-0.3842424242424243,-0.024216524216524093,Winter
3,2007-01-16,0.015,1.52,25.2,13.08,8.3,0.031,113.76,0.12,41.12,2007,1,16,1,1,0.006666666666666667,1.406666666666667,12.6,6.7,77.60666666666667,38.75,inf,-0.06172839506172845,-0.023880597014925398,-0.021226415094339535,0.5310901749663528,0.017821782178217838,Winter
3,2007-02-22,0.001,1.56,0.0,12.9,8.26,0.025,134.4,0.15,43.3,2007,2,22,3,1,0.005333333333333333,1.406666666666667,12.6,8.156666666666666,103.04,41.839999999999996,-0.9841269841269842,0.012987012987013102,-0.0542521994134898,-0.43885869565217395,0.7213114754098362,-0.0045977011494253706,Winter
3,2007-03-14,0.012,3.53,0.0,14.25,7.04,0.032,64.03,0.005,40.41,2007,3,14,2,1,0.009333333333333334,2.2033333333333336,13.409999999999998,7.866666666666667,104.06333333333335,41.60999999999999,inf,0.47698744769874457,0.08778625954198471,-0.48650619985412114,-0.43931698774080563,-0.10000000000000009,Spring
3,2007-04-12,0.13,2.09,20.4,11.81,5.02,0.033,86.4,0.018,41.12,2007,4,12,3,2,0.04766666666666667,2.3933333333333335,12.986666666666665,6.773333333333333,94.94333333333334,41.60999999999999,2.421052631578948,0.9351851851851849,0.06396396396396398,-0.44035674470457087,1.327586206896552,0.933239304184297,Spring
3,2007-05-10,0.0,2.86,20.4,10.63,1.85,0.024,80.2,0.018,39.7,2007,5,10,3,2,0.04733333333333334,2.8266666666666667,12.229999999999999,4.636666666666667,76.87666666666667,40.41,,-0.4245472837022133,-0.14066289409862553,0.5677966101694918,0.12894144144144137,0.3978873239436622,Spring
3,2007-06-15,0.0,1.08,0.0,7.07,2.43,0.018,92.16,0.43,43.25,2007,6,15,4,2,0.043333333333333335,2.0100000000000002,9.836666666666666,3.1,86.25333333333333,41.35666666666666,-1.0,-0.4976744186046511,-0.09706257982120048,-0.43879907621247105,0.14970059880239517,0.3862179487179487,Summer
3,2007-07-23,0.06,0.8,10.4,9.01,1.72,0.012,78.7,0.36,49.86,2007,7,23,0,3,0.02,1.5800000000000003,8.90333333333333,2.0,83.68666666666667,44.27,0.0,-0.5348837209302325,0.2225237449118045,-0.3228346456692913,-0.06786687196494146,0.5289788408463663,Summer
3,2007-08-21,0.0,1.2,3.2,8.88,0.47,0.021,76.42,0.31,36.6,2007,8,21,1,3,0.02,1.026666666666667,8.319999999999999,1.5400000000000003,82.42666666666668,43.23666666666667,-1.0,-0.2592592592592593,0.10723192019950134,-0.8081632653061225,-0.2233739837398374,-0.2129032258064516,Summer
3,2007-09-10,0.0,1.19,7.2,8.61,0.84,0.011,45.44,0.19,36.62,2007,9,10,0,3,0.02,1.0633333333333337,8.83333333333333,1.01,66.85333333333334,41.02666666666667,,0.10185185185185164,-0.043333333333333446,-0.806896551724138,-0.20448179271708689,0.19283387622149828,Autumn
3,2007-10-04,0.01,1.36,9.4,10.48,3.85,0.011,74.3,0.222,38.2,2007,10,4,3,4,0.0033333333333333335,1.2500000000000002,9.323333333333332,1.72,65.38666666666667,37.13999999999999,-0.16666666666666663,0.15254237288135597,0.14786418400876222,-0.44763271162123386,0.2188320209973753,0.12352941176470589,Autumn
3,2007-11-13,0.125,1.89,0.0,12.09,5.47,0.059,70.6,0.26,38.0,2007,11,13,1,4,0.045000000000000005,1.4800000000000004,10.39333333333333,3.3866666666666667,63.44666666666666,37.60666666666666,24.0,0.21153846153846145,-0.0627906976744187,0.40616966580976843,0.21514629948364883,0.11666176902732883,Autumn
3,2007-12-03,0.12,1.8,10.0,12.9,5.38,0.013,107.5,0.26,43.7,2007,12,3,0,4,0.085,1.6833333333333336,11.823333333333332,4.8999999999999995,84.13333333333333,39.96666666666667,inf,0.5789473684210529,0.09137055837563457,-0.3198482932996207,0.7634514435695539,0.06326034063260333,Winter
3,2008-01-14,0.002,2.34,21.9,12.96,8.95,0.024,71.7,0.345,49.3,2008,1,14,0,1,0.08233333333333333,2.0100000000000002,12.649999999999999,6.599999999999999,83.26666666666667,43.666666666666664,-0.8666666666666667,0.5394736842105261,-0.00917431192660545,0.07831325301204806,-0.3697257383966245,0.19892996108949412,Winter
3,2008-02-01,0.017,2.65,23.2,13.56,9.05,0.022,88.32,0.35,45.07,2008,2,1,4,1,0.04633333333333334,2.2633333333333336,13.139999999999999,7.793333333333333,89.17333333333333,46.02333333333333,16.0,0.6987179487179487,0.051162790697674376,0.09564164648910434,-0.34285714285714297,0.040877598152424977,Winter
3,2008-03-13,0.019,3.82,22.0,12.18,5.46,0.017,89.0,0.013,46.5,2008,3,13,3,1,0.012666666666666673,2.936666666666667,12.899999999999999,7.82,83.00666666666666,46.95666666666667,0.5833333333333333,0.0821529745042493,-0.14526315789473687,-0.22443181818181823,0.389973449945338,0.1507052709725316,Spring
3,2008-04-10,0.13,3.55,21.2,10.89,7.3,0.053,68.5,0.02,36.6,2008,4,10,3,2,0.055333333333333345,3.34,12.209999999999999,7.2700000000000005,81.94,42.723333333333336,0.0,0.6985645933014355,-0.07790008467400511,0.45418326693227096,-0.20717592592592593,-0.10992217898832679,Spring
3,2008-05-13,0.04,1.26,8.4,10.2,3.13,0.028,89.8,0.12,35.5,2008,5,13,1,2,0.06300000000000001,2.876666666666667,11.089999999999998,5.296666666666667,82.43333333333334,39.53333333333333,inf,-0.5594405594405594,-0.040451552210724495,0.6918918918918917,0.11970074812967568,-0.10579345088161218,Spring
3,2008-06-04,0.034,0.88,12.0,8.9,2.72,0.017,65.9,0.3,38.9,2008,6,4,2,2,0.06800000000000002,1.8966666666666667,9.996666666666664,4.383333333333333,74.73333333333333,37.0,inf,-0.18518518518518523,0.2588401697312588,0.11934156378600824,-0.28493923611111105,-0.10057803468208093,Summer
3,2008-07-16,0.05,1.09,8.1,8.21,0.95,0.019,84.5,0.26,49.6,2008,7,16,2,3,0.04133333333333334,1.0766666666666669,9.103333333333332,2.2666666666666666,80.06666666666666,41.333333333333336,-0.16666666666666663,0.36250000000000004,-0.08879023307436174,-0.4476744186046512,0.07369758576874208,-0.005214600882470832,Summer
